Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_000468955.1	ASM46895v1	Lactococcus cremoris subsp. cremoris KW2		KW2					GCF_000468955.1-RS_2024_03_28	Complete Genome	2013-09-16		1.0	SAMN02602975
GCF_024665435.1	ASM2466543v1	Bifidobacterium breve		BIF195					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-15		2.0	SAMN29862206
GCF_000389675.2	ASM38967v2	Lactobacillus acidophilus La-14		La-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-06-21		1.0	SAMN02603216
GCF_014058685.1	ASM1405868v1	Lactobacillus johnsonii		NCK2677					GCF_014058685.1-RS_2024_05_21	Complete Genome	2020-08-04		1.0	SAMN15520417
GCF_009769205.1	ASM976920v1	Lactobacillus crispatus		DC21.1					GCF_009769205.1-RS_2024_03_28	Complete Genome	2019-12-19		2.0	SAMN11372136
GCF_009731575.1	ASM973157v1	Akkermansia muciniphila		JCM 30893					GCF_009731575.1-RS_2024_05_06	Complete Genome	2019-11-28		2.0	SAMD00192834
GCF_003030905.1	ASM303090v1	Bifidobacterium adolescentis		1-11					GCF_003030905.1-RS_2024_03_28	Complete Genome	2018-04-03		1.0	SAMN08770276
GCF_023499275.1	ASM2349927v1	Lactococcus petauri		B1726					GCF_023499275.1-RS_2024_03_28	Complete Genome	2022-05-18		1.0	SAMN27069516
GCF_900087655.1	PFRJS14	Propionibacterium freudenreichii					PFRJS14		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-10-09		1.0	SAMEA3991644
GCF_007954605.1	ASM795460v1	Leuconostoc lactis		CBA3625					GCF_007954605.1-RS_2024_03_28	Complete Genome	2019-08-11		2.0	SAMN11843673
GCF_015689215.1	ASM1568921v1	Weissella paramesenteroides		STCH-BD1					GCF_015689215.1-RS_2024_04_20	Chromosome	2020-11-25		2.0	SAMN16830909
GCF_003053085.1	ASM305308v1	Lactobacillus helveticus		DS3_8					GCF_003053085.1-RS_2024_03_28	Contig	2018-04-17	QAZU01		SAMN05942018
GCF_000273525.1	PB_Bifi_bifi_NCIMB_41171_V1	Bifidobacterium bifidum NCIMB 41171		NCIMB 41171					GCF_000273525.1-RS_2024_03_27	Contig	2012-06-15	AKCA01		SAMN02463676
GCF_000154385.1	ASM15438v1	Faecalibacterium prausnitzii M21/2		M21/2					GCF_000154385.1-RS_2024_04_10	Scaffold	2007-09-12	ABED02	25.0	SAMN02299416
GCF_000829035.1	ASM82903v1	Lacticaseibacillus paracasei subsp. paracasei		JCM 8130					GCF_000829035.1-RS_2024_03_31	Complete Genome	2013-08-14		3.0	SAMD00010723
GCF_029023865.1	ASM2902386v1	Lactococcus lactis		DSM 20481					GCF_029023865.1-RS_2024_04_08	Complete Genome	2023-03-08		3.0	SAMN33336512
GCF_016028835.1	ASM1602883v1	Lactococcus lactis		FDAARGOS_865					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-14		2.0	SAMN13450395
GCF_900636965.1	45296_G02	Lacticaseibacillus rhamnosus		NCTC13764					GCF_900636965.1-RS_2024_04_05	Complete Genome	2018-12-20		1.0	SAMEA3905380
GCF_900637335.1	50618_H02	Bifidobacterium longum		NCTC11818					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20		1.0	SAMEA4412687
GCF_017132775.1	ASM1713277v1	Bifidobacterium longum subsp. longum		KCTC 3128					GCF_017132775.1-RS_2024_03_29	Complete Genome	2021-03-02		1.0	SAMN18035029
GCF_900637215.1	49888_B01	Bifidobacterium longum subsp. infantis		NCTC11817					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20		1.0	SAMEA44530168
GCF_000020425.1	ASM2042v1	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088		ATCC 15697					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-11-20		1.0	SAMN02598380
GCF_000269965.1	ASM26996v1	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088		JCM 1222					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-01-28		1.0	SAMD00060952
GCF_017132755.1	ASM1713275v1	Bifidobacterium longum subsp. suillum		JCM 19995					GCF_017132755.1-RS_2024_04_01	Complete Genome	2021-03-02		1.0	SAMN18034998
GCF_019297795.1	ASM1929779v1	Bifidobacterium longum subsp. suillum		KCTC 15605					GCF_019297795.1-RS_2024_04_14	Complete Genome	2021-07-21		1.0	SAMN20131632
GCF_010120595.1	ASM1012059v1	Streptococcus thermophilus		ATCC 19258					GCF_010120595.1-RS_2024_04_06	Complete Genome	2020-01-29		1.0	SAMN11175069
GCF_006740305.1	ASM674030v1	Lactobacillus delbrueckii subsp. delbrueckii		NBRC 3202					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-06-14		1.0	SAMD00093676
GCF_000056065.1	ASM5606v1	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002		ATCC 11842					GCF_000056065.1-RS_2024_04_21	Complete Genome	2006-05-26		1.0	SAMEA3138258
GCF_001908415.1	ASM190841v1	Lactobacillus delbrueckii subsp. indicus		JCM 15610					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-12-19		3.0	SAMN06074288
GCF_002278095.1	ASM227809v1	Lactobacillus delbrueckii subsp. lactis DSM 20072		DSM 20072					GCF_002278095.1-RS_2024_04_21	Complete Genome	2017-08-30		1.0	SAMN07515627
GCF_001888965.1	ASM188896v1	Lactobacillus delbrueckii subsp. allosunkii		JCM 17838					GCF_001888965.1-RS_2024_04_21	Complete Genome	2016-12-05		1.0	SAMN06066454
GCF_001047695.1	ASM104769v1	Leuconostoc mesenteroides subsp. dextranicum		DSM 20484					GCF_001047695.1-RS_2024_04_12	Complete Genome	2015-07-08		2.0	SAMN03105774
GCF_000014445.1	ASM1444v1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293		ATCC 8293					GCF_000014445.1-RS_2024_04_11	Complete Genome	2006-10-13		2.0	SAMN02598482
GCF_001886915.1	ASM188691v1	Leuconostoc mesenteroides subsp. jonggajibkimchii		DRC1506					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-11-28		4.0	SAMN04198570
GCF_003047065.1	ASM304706v1	Lactobacillus acidophilus		DSM 20079					GCF_003047065.1-RS_2024_04_22	Complete Genome	2018-04-10		1.0	SAMN06606133
GCF_034298135.1	ASM3429813v1	Lactobacillus acidophilus		ATCC 4356					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-12		1.0	SAMN38517762
GCF_900637145.1	49569_E01	Bifidobacterium breve		NCTC11815					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-20		1.0	SAMEA4076721
GCF_001025175.1	ASM102517v1	Bifidobacterium breve DSM 20213 = JCM 1192		JCM 1192					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-03-24		1.0	SAMD00061041
GCF_000269925.1	ASM26992v1	Lactococcus garvieae ATCC 49156		ATCC 49156					GCF_000269925.1-RS_2024_03_30	Complete Genome	2011-08-09		1.0	SAMD00060911
GCF_029024465.1	ASM2902446v1	Lactococcus garvieae subsp. garvieae		DSM 20684					GCF_029024465.1-RS_2024_04_01	Complete Genome	2023-03-08		3.0	SAMN33336519
GCF_900637095.1	48450_G02	Bifidobacterium bifidum		NCTC13001					GCF_900637095.1-RS_2024_04_05	Complete Genome	2018-12-20		1.0	SAMEA4063017
GCF_001025135.1	ASM102513v1	Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456		JCM 1255					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-03-24		1.0	SAMD00061040
GCF_018987235.1	ASM1898723v1	Lactobacillus crispatus		ATCC 33820					GCF_018987235.1-RS_2024_04_21	Complete Genome	2021-06-22		1.0	SAMN18472633
GCF_008000975.1	ASM800097v1	Akkermansia muciniphila		DSM 22959					GCF_008000975.1-RS_2024_05_12	Complete Genome	2019-08-18		1.0	SAMN12556229
GCF_000020225.1	ASM2022v1	Akkermansia muciniphila ATCC BAA-835		ATCC BAA-835					GCF_000020225.1-RS_2024_05_05	Complete Genome	2008-05-05		1.0	SAMN00138213
GCF_028743295.1	ASM2874329v1	Bifidobacterium adolescentis		LMG 10502					GCF_028743295.1-RS_2024_03_26	Complete Genome	2023-02-20		1.0	SAMN33244129
GCF_000010425.1	ASM1042v1	Bifidobacterium adolescentis ATCC 15703		ATCC 15703					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2006-12-05		1.0	SAMD00061080
GCF_000940845.1	ASM94084v1	Propionibacterium freudenreichii subsp. freudenreichii		20271T					GCF_000940845.1-RS_2024_03_29	Complete Genome	2015-03-04		1.0	SAMN03263638
GCF_000714595.1	ASM71459v1	Escherichia coli Nissle 1917		Nissle 1917					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-06-27		1.0	SAMN02794012
GCF_000317915.1	ASM31791v1	Enterococcus faecalis str. Symbioflor 1		Symbioflor 1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-12-03		1.0	SAMEA2272087
GCF_028609725.1	ASM2860972v1	Lacticaseibacillus paracasei		CLP-C10					GCF_028609725.1-RS_2024_03_24	Complete Genome	2023-02-13		2.0	SAMN14677579
GCF_030061895.1	ASM3006189v1	Lacticaseibacillus paracasei		GM-080					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-05-22		1.0	SAMN27485237
GCF_026013725.1	ASM2601372v1	Lacticaseibacillus paracasei		ATG-E1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-06		3.0	SAMN31433209
GCF_009931715.1	ASM993171v1	Lacticaseibacillus paracasei		CACC 566					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-01-27		3.0	SAMN13871807
GCF_025137495.1	ASM2513749v1	Lacticaseibacillus paracasei		L1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-12		10.0	SAMN20355457
GCF_035330705.1	ASM3533070v1	Lacticaseibacillus paracasei		S135-24W					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-09		1.0	SAMN38650142
GCF_000418515.1	ASM41851v1	Lacticaseibacillus paracasei		LOCK919					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-07-08		2.0	SAMN02603330
GCF_025252385.1	ASM2525238v1	Lacticaseibacillus paracasei		VHProbi O44					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19		4.0	SAMN30550144
GCF_012955485.1	ASM1295548v1	Lacticaseibacillus paracasei		347-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-05-03		3.0	SAMN13259076
GCF_035586595.1	ASM3558659v1	Lacticaseibacillus paracasei		HP-B1337					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-11		1.0	SAMN38922877
GCF_024498315.1	ASM2449831v1	Lacticaseibacillus paracasei		SMN-LBK					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-01		2.0	SAMN29933592
GCF_023674545.1	ASM2367454v1	Lacticaseibacillus paracasei		401					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-06-08		1.0	SAMN28818858
GCF_024637915.1	ASM2463791v1	Lacticaseibacillus paracasei		VHProbi F11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-12		4.0	SAMN27160580
GCF_003966835.1	ASM396683v1	Lacticaseibacillus paracasei		IJH-SONE68					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-07-25		3.0	SAMD00094822
GCF_029625355.1	ASM2962535v1	Lacticaseibacillus paracasei		VHProbi OF10					GCF_029625355.1-RS_2024_04_08	Complete Genome	2023-04-09		1.0	SAMN26144441
GCF_007637635.1	ASM763763v1	Lacticaseibacillus paracasei		NJ					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-30		1.0	SAMN12319598
GCF_017638905.1	ASM1763890v1	Lacticaseibacillus paracasei		HL182					GCF_017638905.1-RS_2024_04_23	Complete Genome	2021-03-30		4.0	SAMN18236778
GCF_004141835.1	ASM414183v1	Lacticaseibacillus paracasei		SRCM103299					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-02-06		3.0	SAMN10849469
GCF_022701315.1	ASM2270131v1	Lacticaseibacillus paracasei		WX322					GCF_022701315.1-RS_2024_04_10	Complete Genome	2022-03-28		9.0	SAMN12671281
GCF_000026485.1	ASM2648v1	Lacticaseibacillus paracasei		BL23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-06-19		1.0	SAMEA2272724
GCF_008807095.1	ASM880709v1	Lacticaseibacillus paracasei		TCS					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-03		2.0	SAMN11177072
GCF_022478075.1	ASM2247807v1	Lacticaseibacillus paracasei		VHProbi F22					GCF_022478075.1-RS_2024_04_30	Complete Genome	2022-03-04		2.0	SAMN23765140
GCF_001244395.1	ASM124439v1	Lacticaseibacillus paracasei		L9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-08-05		1.0	SAMN03853751
GCF_902386635.1	UHGG_MGYG-HGUT-02388	Lacticaseibacillus paracasei					MGYG-HGUT-02388		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-10		1.0	SAMEA5851892
GCF_037414215.1	ASM3741421v1	Lacticaseibacillus paracasei		LPC100					GCF_037414215.1-RS_2024_04_05	Complete Genome	2024-04-05		4.0	SAMN39212581
GCF_037099855.1	ASM3709985v1	Lacticaseibacillus paracasei		DS2766					GCF_037099855.1-RS_2024_04_05	Complete Genome	2024-04-05		2.0	SAMN40243540
GCF_000194765.1	ASM19476v1	Lacticaseibacillus paracasei		BD-II					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-04-01		2.0	SAMN02603876
GCF_025215665.1	ASM2521566v1	Lacticaseibacillus paracasei		ALAC-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-15		2.0	SAMN10688387
GCF_002079285.1	ASM207928v1	Lacticaseibacillus paracasei		IIA					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-05		4.0	SAMN04571918
GCF_031348425.1	ASM3134842v1	Lacticaseibacillus paracasei		KCKM 0245					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-12		1.0	SAMN37235621
GCF_003199005.1	ASM319900v1	Lacticaseibacillus paracasei		Lpc10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-07		1.0	SAMN09283999
GCF_028609745.1	ASM2860974v1	Lacticaseibacillus paracasei		CLP-Y5					GCF_028609745.1-RS_2024_03_24	Complete Genome	2023-02-13		3.0	SAMN14686377
GCF_003268715.1	ASM326871v1	Lacticaseibacillus paracasei		LC355					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-27		3.0	SAMN09222630
GCF_002865565.1	ASM286556v1	Lacticaseibacillus paracasei		HD1.7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-08		1.0	SAMN08195363
GCF_024717335.1	ASM2471733v1	Lacticaseibacillus paracasei		VHProbi M56					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-19		2.0	SAMN27162336
GCF_000194785.1	ASM19478v1	Lacticaseibacillus paracasei		LC2W					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-04-01		2.0	SAMN02603877
GCF_002902825.1	ASM290282v1	Lacticaseibacillus paracasei		HDS-01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-28		1.0	SAMN08361670
GCF_037414395.1	ASM3741439v1	Lacticaseibacillus paracasei		CUDS0725					GCF_037414395.1-RS_2024_04_05	Complete Genome	2024-04-05		1.0	SAMN40277763
GCF_007292115.1	ASM729211v1	Lacticaseibacillus paracasei		CBA3611					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-23		2.0	SAMN11890849
GCF_034079445.1	ASM3407944v1	Lacticaseibacillus paracasei		A02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-04		3.0	SAMN38258108
GCF_015377585.1	ASM1537758v1	Lacticaseibacillus paracasei		TK-P4A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-12		4.0	SAMN13106280
GCF_003627255.1	ASM362725v1	Lacticaseibacillus paracasei		ZFM54					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-10-08		3.0	SAMN07305422
GCF_008329845.1	ASM832984v1	Lacticaseibacillus paracasei		10266					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-09		2.0	SAMN09874024
GCF_030480425.1	ASM3048042v1	Lacticaseibacillus paracasei		L14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-15		1.0	SAMN33263285
GCF_013307125.1	ASM1330712v1	Lacticaseibacillus paracasei		Lp02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-06-09		3.0	SAMN11489091
GCF_014905075.1	ASM1490507v1	Lacticaseibacillus paracasei		NFFJ04					GCF_014905075.1-RS_2024_05_11	Complete Genome	2020-10-21		4.0	SAMN14444968
GCF_002257625.1	ASM225762v1	Lacticaseibacillus paracasei		TK1501					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-08-16		1.0	SAMN05921089
GCF_003177075.1	ASM317707v1	Lacticaseibacillus paracasei		EG9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-05-30		4.0	SAMN09239981
GCF_001514415.1	ASM151441v1	Lacticaseibacillus paracasei		KL1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-01-14		1.0	SAMN04378089
GCF_024158965.2	ASM2415896v2	Lacticaseibacillus paracasei		DM001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-31		6.0	SAMN29405972
GCF_000019245.4	ASM1924v3	Lacticaseibacillus paracasei		Zhang					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-02-05		2.0	SAMN02603933
GCF_022819265.1	ASM2281926v1	Lacticaseibacillus paracasei		SCB0563					GCF_022819265.1-RS_2024_04_19	Complete Genome	2022-04-06		2.0	SAMN26885627
GCF_030581835.1	ASM3058183v1	Lacticaseibacillus paracasei		XJ-003					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-02		4.0	SAMN20924980
GCF_001191565.1	ASM119156v1	Lacticaseibacillus paracasei		CAUH35					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-08-03		5.0	SAMN03892742
GCF_032466015.1	ASM3246601v1	Lacticaseibacillus paracasei		LMG 19719					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10		6.0	SAMN37405140
GCF_002442835.1	ASM244283v1	Lacticaseibacillus paracasei		FAM18149					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-10-04		6.0	SAMN05781319
GCF_009834405.1	ASM983440v1	Lacticaseibacillus paracasei		TD 062					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-01-08		7.0	SAMN12792675
GCF_009739485.1	ASM973948v1	Lacticaseibacillus paracasei subsp. paracasei		IBB3423					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-10		3.0	SAMN07167770
GCF_024665815.1	ASM2466581v1	Lacticaseibacillus paracasei subsp. paracasei		01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-15		2.0	SAMN29862210
GCF_002813615.1	ASM281361v1	Lacticaseibacillus paracasei subsp. paracasei		TMW 1.1434					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-07		2.0	SAMN05356834
GCF_021650835.1	ASM2165083v1	Lacticaseibacillus paracasei subsp. paracasei		GR0562					GCF_021650835.1-RS_2024_03_23	Complete Genome	2022-01-27		5.0	SAMN25145123
GCF_019175405.1	ASM1917540v1	Lacticaseibacillus paracasei subsp. paracasei		GR0548					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-07-08		2.0	SAMN18436391
GCF_025946745.1	ASM2594674v1	Lacticaseibacillus paracasei subsp. tolerans		FX-6-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-01		1.0	SAMN31308977
GCF_025946725.1	ASM2594672v1	Lacticaseibacillus paracasei subsp. tolerans		FX-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-01		1.0	SAMN31308951
GCF_015476155.1	ASM1547615v1	Lacticaseibacillus paracasei subsp. tolerans		MGB0625					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-15		3.0	SAMN16668564
GCF_015693945.1	ASM1569394v1	Lacticaseibacillus paracasei subsp. tolerans		ZY-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-29		5.0	SAMN16861159
GCF_016757695.1	ASM1675769v1	Lacticaseibacillus paracasei subsp. tolerans		S-NB					GCF_016757695.1-RS_2024_03_17	Complete Genome	2021-01-27		2.0	SAMN17359333
GCF_016757675.1	ASM1675767v1	Lacticaseibacillus paracasei subsp. tolerans		S-NA5					GCF_016757675.1-RS_2024_03_17	Complete Genome	2021-01-27		8.0	SAMN17359331
GCF_015476195.1	ASM1547619v1	Lacticaseibacillus paracasei subsp. tolerans		MGB0761					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-15		3.0	SAMN16668817
GCF_015476135.1	ASM1547613v1	Lacticaseibacillus paracasei subsp. tolerans		MGB0734					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-15		7.0	SAMN16667758
GCF_015476175.1	ASM1547617v1	Lacticaseibacillus paracasei subsp. tolerans		MGB0747					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-15		2.0	SAMN16668663
GCF_015476075.1	ASM1547607v1	Lacticaseibacillus paracasei subsp. tolerans		MGB0245					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-15		4.0	SAMN16657550
GCF_018286435.1	ASM1828643v1	Lacticaseibacillus paracasei subsp. tolerans		2A					GCF_018286435.1-RS_2024_05_21	Complete Genome	2021-05-06		1.0	SAMN18869149
GCF_038098635.1	ASM3809863v1	Lacticaseibacillus paracasei subsp. tolerans		DS0725					GCF_038098635.1-RS_2024_04_17	Complete Genome	2024-04-17		2.0	SAMN37388437
GCF_003957435.1	ASM395743v1	Lacticaseibacillus paracasei subsp. tolerans		AO356					GCF_003957435.1-RS_2024_03_21	Complete Genome	2018-12-20		2.0	SAMN08200884
GCF_000014525.1	ASM1452v1	Lacticaseibacillus paracasei ATCC 334		ATCC 334					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2006-10-13		2.0	SAMN02598528
GCF_000582665.1	ASM58266v1	Lacticaseibacillus paracasei N1115		N1115					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-02-14		5.0	SAMN03081525
GCF_016649195.2	ASM1664919v2	Lactococcus lactis		LB7					GCF_016649195.2-RS_2024_04_08	Complete Genome	2023-02-21		6.0	SAMN16383065
GCF_028994235.1	ASM2899423v1	Lactococcus lactis		P-1					GCF_028994235.1-RS_2024_03_29	Complete Genome	2023-03-05		1.0	SAMN33411931
GCF_033879915.1	ASM3387991v1	Lactococcus lactis		NCK401					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-22		1.0	SAMN37326198
GCF_030480465.1	ASM3048046v1	Lactococcus lactis		ZZ-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-15		1.0	SAMN36291390
GCF_023809745.1	ASM2380974v1	Lactococcus lactis		WiKim0124					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-06-20		1.0	SAMN28188621
GCF_029581115.1	ASM2958111v1	Lactococcus lactis		ZFM559					GCF_029581115.1-RS_2024_04_03	Complete Genome	2023-04-04		4.0	SAMN33849032
GCF_023734755.1	ASM2373475v1	Lactococcus lactis		ID-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-03		1.0	SAMD00439257
