Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_003940675.1	ASM394067v1	Pseudomonas aeruginosa		PA_032					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-12-11	RHTA01	136.0	SAMN10249160
GCF_002519795.1	ASM251979v1	Escherichia coli		MOD1-EC6896					GCF_002519795.1-RS_2024_04_28	Contig	2017-10-11	NOOV01		SAMN04992262
GCF_015536975.1	ASM1553697v1	Acinetobacter baumannii		229_16					GCF_015536975.1-RS_2024_04_24	Scaffold	2020-11-17	JABLWQ01	142.0	SAMN14911903
GCF_021960615.1	ASM2196061v1	Staphylococcus aureus		B7					GCF_021960615.1-RS_2024_03_17	Contig	2022-02-04	JAHXKB01		SAMN20347831
GCF_002210025.1	ASM221002v1	Salmonella enterica subsp. enterica serovar Typhimurium var. monophasic 4,5,12:i:-		TW-Stm6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-28		3.0	SAMN06309456
GCF_032462255.1	ASM3246225v1	Klebsiella pneumoniae		INSA55818					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-10-07	JAWDCM01		SAMN37608158
GCF_018274825.1	ASM1827482v1	Klebsiella pneumoniae		18091903642					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-05-04	JAGURX01		SAMN18877807
GCF_022971615.1	ASM2297161v1	Escherichia coli		Ed12-3-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-04-13	JAGMQT01	169.0	SAMN18521242
GCF_003584305.1	ASM358430v1	Acinetobacter baumannii		MC101					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-20	QXOD01	527.0	SAMN09951365
GCF_005396685.1	ASM539668v1	Escherichia coli		SI-NP053					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-17	BGHY01	141.0	SAMD00077680
GCF_001660105.1	ASM166010v1	Escherichia coli		E-D 371					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-08	LFHV01		SAMN03775330
GCF_022973395.1	ASM2297339v1	Escherichia coli		TZ2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-04-13	JAGMNG01	206.0	SAMN18521151
GCF_008123485.1	ASM812348v1	Acinetobacter baumannii		TVGH-612					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-08-28	VSSG01	708.0	SAMN12605424
GCF_002519905.1	ASM251990v1	Escherichia coli		MOD1-EC6889					GCF_002519905.1-RS_2024_04_27	Contig	2017-10-11	NOPA01		SAMN04992255
GCF_022554675.1	ASM2255467v1	Klebsiella pneumoniae		K210184					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-03-12	JAKLVD01		SAMN25343308
GCF_025754715.1	ASM2575471v1	Klebsiella pneumoniae		HK1034					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-10-18	JAIBGF01		SAMN20354760
GCF_001609295.1	ASM160929v1	Escherichia coli		STEC 3098					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-04-04	LPUM01		SAMN04002712
GCF_020036235.1	ASM2003623v1	Pseudomonas aeruginosa		ZYPA40					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-19	JAIQJW01		SAMN20856525
GCF_004768215.1	ASM476821v1	Escherichia coli		KCJK6920					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-04-09	SRNS01		SAMN11334886
GCF_030197915.1	ASM3019791v1	Acinetobacter baumannii		LCAB12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-06	JARDTO01		SAMN33430975
GCF_016236065.1	ASM1623606v1	Clostridium perfringens		C30					GCF_016236065.1-RS_2024_04_11	Contig	2020-12-21	JACOGQ01		SAMN15815766
GCF_014334495.1	ASM1433449v1	Staphylococcus aureus		K090					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2020-08-31		1.0	SAMN15891910
GCF_028527285.1	ASM2852728v1	Klebsiella pneumoniae		PEKP4069					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-02-06	JAKFII01		SAMN24528099
GCF_030716675.1	ASM3071667v1	Escherichia coli		HZZ29_1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-08-11	JAUPHQ01		SAMN36699635
GCF_023007275.1	ASM2300727v1	Salmonella enterica subsp. enterica serovar Kentucky		N14-0780					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-04-14	JAKOCR01		SAMN25644146
GCF_017973615.1	ASM1797361v1	Staphylococcus aureus		SA-ME30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-04-15	JAETGI01		SAMN17387799
GCF_025971935.1	ASM2597193v1	Acinetobacter baumannii		CCBH29641					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-02	JAPDKF01		SAMN31464039
GCF_036688165.2	ASM3668816v2	Pseudomonas aeruginosa		3860P					GCF_036688165.2-RS_2024_05_18	Complete Genome	2024-05-18		2.0	SAMN39585554
GCF_008375165.1	ASM837516v1	Klebsiella pneumoniae		167I9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-13	VUDE01		SAMN12676048
GCF_002125715.1	ASM212571v1	Staphylococcus aureus		CFSA024					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-05-10	NDUW01	94.0	SAMN06698011
GCF_013402245.1	ASM1340224v1	Listeria monocytogenes		N20-689					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-07-11	JACAUR01		SAMN15325590
GCF_006494265.1	ASM649426v1	Acinetobacter baumannii		MRSN1196					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-06-26	VHHB01		SAMN12087701
GCF_002192475.1	ASM219247v1	Pseudomonas aeruginosa		Pa124					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-13		1.0	SAMN05020323
GCF_003409125.1	ASM340912v1	Salmonella enterica		AR-07					GCF_003409125.1-RS_2024_05_16	Contig	2018-08-20	QUXN01		SAMN09813555
GCF_003834305.1	ASM383430v1	Pseudomonas aeruginosa		CF27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-11-26	NSOU01		SAMN07424191
GCF_023273465.1	ASM2327346v1	Escherichia coli		E-4H2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-05-07	JALSFS01		SAMN27863099
GCF_003006845.1	ASM300684v1	Acinetobacter baumannii		AB36					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-03-18	PXMA01	86.0	SAMN08619601
GCF_025584745.1	ASM2558474v1	Escherichia coli		DVT999					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-10-05	JAOSEW01		SAMN30549996
GCF_022499725.1	ASM2249972v1	Listeria monocytogenes		11CEB426LM			1385		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-03-07	JAKTOE01		SAMN26429507
GCF_023839375.1	ASM2383937v1	Listeria monocytogenes		ICDC_LM1621					GCF_023839375.1-RS_2024_05_21	Contig	2022-06-21	JAKEOE01		SAMN24731199
GCF_013350195.1	ASM1335019v1	Escherichia coli		MCL1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-06-16	JABVMO01		SAMN15181897
GCF_033340835.1	ASM3334083v1	Salmonella enterica subsp. enterica serovar Enteritidis		S213					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-04	JAWOPM01		SAMN37714478
GCF_005397465.1	ASM539746v1	Escherichia coli		SI-P083					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-17	BGJJ01	154.0	SAMD00077717
GCF_001010345.1	ASM101034v1	Streptococcus agalactiae		ES-NI-001					GCF_001010345.1-RS_2024_04_17	Contig	2015-05-19	LCTS01		SAMN03435034
GCF_030676715.1	ASM3067671v1	Pseudomonas aeruginosa		IPR45					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-08-07	JAUUUX01	42.0	SAMN36791030
GCF_037995805.1	ASM3799580v1	Salmonella enterica		SMC 1411-045					GCF_037995805.1-RS_2024_04_08	Contig	2024-04-06	JBBMZN01		SAMN40623634
GCF_001601595.1	ASM160159v1	Pseudomonas aeruginosa		105738					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-03-29	LOHK01	137.0	SAMN03076167
GCF_003173455.1	ASM317345v1	Escherichia coli		KCJ9492					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-05-28	QGNE01		SAMN04510562
GCF_003588725.1	ASM358872v1	Listeria monocytogenes		N12-0677					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-21	QYGL01		SAMN09947928
GCF_005519425.1	ASM551942v1	Salmonella enterica subsp. enterica serovar Typhi		SL_68_S10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-05-20	SMQZ01		SAMN10408329
GCF_036986435.1	ASM3698643v1	Klebsiella pneumoniae		CRKP9					GCF_036986435.1-RS_2024_04_06	Contig	2023-11-18	BTWI01		SAMD00656432
GCF_001666645.1	ASM166664v1	Acinetobacter baumannii		CCF72					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-17	LZBY01		SAMN04993405
GCF_030135685.1	ASM3013568v1	Klebsiella pneumoniae		B49					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-05-30	JARWTN01	136.0	SAMN34196750
GCF_003318375.1	ASM331837v1	Escherichia coli		AVC97					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-07-14	QODN01	215.0	SAMN09579988
GCF_036034265.1	ASM3603426v1	Escherichia coli		MRSN960415					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-01-24	JAYXGO01		SAMN39464653
GCF_002734745.1	ASM273474v1	Escherichia coli O26:H11		TC3145					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-10-24	BEJH01	360.0	SAMD00075739
GCF_020579795.1	ASM2057979v1	Klebsiella pneumoniae		Kp_HUCA_Bac_1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-10-25	JAGLAK01	97.0	SAMN18572040
GCF_035830115.1	ASM3583011v1	Klebsiella pneumoniae		30872_C058789					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-01-18	JAYNBP01		SAMN33709370
GCF_018682755.1	ASM1868275v1	Escherichia coli		BfR-EC-17845					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-06-02	JAGEVU01		SAMN18335773
GCF_003086215.1	ASM308621v1	Escherichia coli		HN503E1II					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-05-02	PCFE01	132.0	SAMN07714117
GCF_037481395.1	ASM3748139v1	Salmonella enterica subsp. enterica		18ESS0600					GCF_037481395.1-RS_2024_04_06	Contig	2024-03-23	JBBHDL01		SAMN40221052
GCF_003068105.1	ASM306810v1	Salmonella enterica subsp. enterica		CFSAN058539					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-04-23	QAQC01		SAMN08822938
GCF_003323005.1	ASM332300v1	Escherichia coli		GER_MD17_1505_Eco_045					GCF_003323005.1-RS_2024_04_30	Contig	2018-07-15	PUSB01		SAMN08519249
GCF_002517465.1	ASM251746v1	Escherichia coli		MOD1-EC5606					GCF_002517465.1-RS_2024_04_26	Contig	2017-10-06	NODU01		SAMN06240037
GCF_016879915.1	ASM1687991v1	Klebsiella pneumoniae		GS888					GCF_016879915.1-RS_2024_05_06	Scaffold	2021-02-11	WUAC01	59.0	SAMN13495977
GCF_005388845.1	ASM538884v1	Escherichia coli		JML235					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-17	BFTT01	228.0	SAMD00077310
GCF_003008745.1	ASM300874v1	Escherichia coli		YJC9					GCF_003008745.1-RS_2024_05_08	Scaffold	2018-03-19	PGIU01	202.0	SAMN07983326
GCF_030357955.1	ASM3035795v1	Escherichia coli		TUM14692					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-27	JAUCHD01		SAMN35654569
GCF_002156345.1	ASM215634v1	Salmonella enterica subsp. enterica serovar Daytona		NCTC 7102					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-05-22	MWLX01		SAMN06434193
GCF_031704775.1	ASM3170477v1	Escherichia coli		E1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-09-19	JASWGS01		SAMN35721883
GCF_001648965.1	ASM164896v1	Shigella flexneri		BJ4s03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-05-20	LVIH01		SAMN04570175
GCF_030372605.1	ASM3037260v1	Escherichia coli		EcCR01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-28	JAUCRA01		SAMN35820179
GCF_033394235.1	ASM3339423v1	Pseudomonas aeruginosa					FELIX_MS461		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-07		1.0	SAMN37709347
GCF_013342225.1	ASM1334222v1	Salmonella enterica subsp. enterica		Sal-2894					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-06-14	JABUVE01		SAMN15150896
GCF_018997225.1	ASM1899722v1	Staphylococcus aureus		AF4016					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-06-22	JAHMUD01		SAMN19677342
GCF_011368675.1	ASM1136867v1	Salmonella enterica subsp. enterica		20_18					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-03-16	SWAG01		SAMN11490571
GCF_010178955.1	ASM1017895v1	Acinetobacter baumannii		BA22708					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-02-04	JAAEGL01		SAMN13943323
GCF_026126835.1	ASM2612683v1	Pseudomonas aeruginosa		KCJ3K104					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-10	JACYEH01		SAMN16213342
GCF_016776005.1	ASM1677600v1	Escherichia coli		RIVM_C029494					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-01		1.0	SAMN17373199
GCF_024159465.1	ASM2415946v1	Klebsiella pneumoniae		21121928					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-07-05	JAMZEQ01		SAMN27363286
GCF_017897445.1	ASM1789744v1	Acinetobacter baumannii		ABS43					GCF_017897445.1-RS_2024_05_14	Contig	2021-04-10	JAGKJT01		SAMN18614321
GCF_003288055.1	ASM328805v1	Streptococcus agalactiae		B507					GCF_003288055.1-RS_2024_04_03	Complete Genome	2018-07-05		1.0	SAMN07178059
GCF_035831235.1	ASM3583123v1	Escherichia coli		X-142					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-01-18	JAYMMX01	135.0	SAMN39105176
GCF_019401235.1	ASM1940123v1	Klebsiella pneumoniae		K507					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-07-29	WTEI01		SAMN13563922
GCF_013626195.1	ASM1362619v1	Klebsiella pneumoniae subsp. pneumoniae		AMKP5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-07-24	NGKP01	62.0	SAMN06928701
GCF_024260155.1	ASM2426015v1	Clostridioides difficile		271					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-07-13	JANCKU01		SAMN25042585
GCF_002324425.1	ASM232442v1	Escherichia coli		KCJK502					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-09-21	NTDG01		SAMN05163865
GCF_014181525.1	ASM1418152v1	Staphylococcus aureus		KE1749					GCF_014181525.1-RS_2024_05_16	Contig	2020-08-13	JABXBE01		SAMN15098665
GCF_001067295.1	ASM106729v1	Staphylococcus aureus		78_SAUR					GCF_001067295.1-RS_2024_04_30	Scaffold	2015-07-10	JUTG01	58.0	SAMN03197990
GCF_002029455.1	ASM202945v1	Salmonella enterica subsp. enterica serovar Typhimurium		LT2 KO STM4298::STM0928					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-03-15	MWQS01	72.0	SAMN06392999
GCF_001831865.1	ASM183186v1	Salmonella enterica		CFSAN044882					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-10-24	MLRS01		SAMN04961944
GCF_003632555.1	ASM363255v1	Pseudomonas aeruginosa		VET-123					GCF_003632555.1-RS_2024_05_19	Contig	2018-10-11	QZXU01		SAMN09477957
GCF_020297085.1	ASM2029708v1	Staphylococcus aureus		SauR72					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-10-05	JAIXHA01		SAMN21906103
GCF_013389205.1	ASM1338920v1	Escherichia coli		NIFDS_EC2016_I183					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-07-04	JACABX01		SAMN15391205
GCF_001024695.1	ASM102469v1	Pseudomonas aeruginosa		Pae_CF67.04t					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2015-06-10	LDMI01	147.0	SAMN03566305
GCF_030767045.1	ASM3076704v1	Pseudomonas aeruginosa		PS748					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-08-16	JASFXN01	170.0	SAMN35051893
GCF_024702485.1	ASM2470248v1	Listeria monocytogenes		20562					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-08-15	JANLLX01	7.0	SAMN29762429
GCF_019841375.1	ASM1984137v1	Escherichia coli		C4-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-08-31	JAINBV01	89.0	SAMN20959632
GCF_036864075.1	ASM3686407v1	Pseudomonas aeruginosa		19071					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-23	JAZEWQ01		SAMN38257038
GCF_004316005.1	ASM431600v1	Clostridioides difficile		FD125					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-01-29	BIRH01	110.0	SAMD00155901
GCF_035284645.1	ASM3528464v1	Klebsiella pneumoniae		H68					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-01-09	JAYKNO01		SAMN37671768
GCF_037992365.1	ASM3799236v1	Staphylococcus aureus		057392_SL117					GCF_037992365.1-RS_2024_04_08	Contig	2024-04-05	JBBNDU01		SAMN40655922
GCF_004797005.1	ASM479700v1	Escherichia coli		2015-1-106F					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-04-16	SKDO01		SAMN11055843
GCF_038593815.1	ASM3859381v1	Pseudomonas aeruginosa		ID_507_19					GCF_038593815.1-RS_2024_04_29	Scaffold	2024-04-28	JBCGAD01	207.0	SAMN40996658
GCF_002232655.1	ASM223265v1	Escherichia coli		MOD1-EC5092					GCF_002232655.1-RS_2024_04_25	Contig	2017-07-25	NLSV01		SAMN04279429
GCF_030020215.1	ASM3002021v1	Enterococcus faecalis		EfsPF5					GCF_030020215.1-RS_2024_05_15	Complete Genome	2023-05-16		1.0	SAMN33741214
GCF_036984705.1	ASM3698470v1	Escherichia coli		JNE162446					GCF_036984705.1-RS_2024_04_05	Contig	2023-11-07	BRWI01		SAMD00513712
GCF_001006555.1	ASM100655v1	Klebsiella aerogenes		B3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2015-05-14	JSWV01		SAMN03145041
GCF_015690055.1	ASM1569005v1	Klebsiella pneumoniae		ENT1332					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2020-11-02		12.0	SAMN16427579
GCF_003204235.1	ASM320423v1	Pseudomonas aeruginosa		LIM4308					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-10	QJOX01		SAMN08278664
GCF_003424145.1	ASM342414v1	Staphylococcus aureus					M1KS0367_2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-20	BHAN01	43.0	SAMD00118944
GCF_003935835.1	ASM393583v1	Pseudomonas aeruginosa		PA_060					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-12-11	RHSV01	87.0	SAMN10249014
GCF_026615115.1	ASM2661511v1	Klebsiella pneumoniae		X_70					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-02	JAIQBH01		SAMN21366063
GCF_023476315.1	ASM2347631v1	Escherichia coli		Eco_705					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-05-18	JAMBZR01	165.0	SAMN28088469
GCF_000189155.1	ASM18915v2	Salmonella enterica subsp. enterica serovar Montevideo str. IA_2010008282		IA_2010008282					GCF_000189155.1-RS_2024_05_12	Contig	2011-02-10	AETS01		SAMN00710619
GCF_019265705.1	ASM1926570v1	Staphylococcus aureus		M29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-07-18	JAHVFH01		SAMN20168740
GCF_009931515.1	ASM993151v2	Shigella sonnei		6607.69					GCF_009931515.1-RS_2024_04_16	Complete Genome	2020-06-03		2.0	SAMN13075194
GCF_030376455.1	ASM3037645v1	Escherichia coli		MUWRP0930					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-29	JARWFV01		SAMN34177621
GCF_016785485.1	ASM1678548v1	Escherichia coli		BS74R-D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-02-01	JADBEX01		SAMN16387362
GCF_023744785.1	ASM2374478v1	Staphylococcus aureus		171_MR					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-06-16	JALKGJ01		SAMN27512754
GCF_001905975.1	ASM190597v1	Shigella boydii		600080					GCF_001905975.1-RS_2024_05_03	Contig	2016-12-15	LSCB01		SAMN04001686
GCF_036662955.1	ASM3666295v1	Escherichia coli		s_25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-16	JAWJWS01		SAMN37815294
GCF_026622805.1	ASM2662280v1	Acinetobacter baumannii		A-44					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-12-02	JAOPFI01	55.0	SAMN30971526
GCF_005786135.1	ASM578613v1	Acinetobacter baumannii		AB179					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-05-23	VAQT01	85.0	SAMN11607781
GCF_002547295.1	ASM254729v1	Escherichia coli		MOD1-EC5974					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-10-13	NNZC01		SAMN06555245
GCF_032190455.1	ASM3219045v1	Enterococcus faecalis		51271925					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-09-28	JANEVK01		SAMN29681588
GCF_001525175.1	ASM152517v1	Enterobacter cloacae subsp. cloacae		SMART_1493					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-01-22	LRIO01		SAMN04431024
GCF_001420075.1	ASM142007v1	Escherichia coli		224					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2015-10-29	LIVF01		SAMN04009866
GCF_013347025.1	ASM1334702v1	Escherichia coli		NJLSYY40-CR					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-06-15	JABEWL01		SAMN10613781
GCF_002283175.1	ASM228317v1	Salmonella enterica subsp. enterica serovar Schwarzengrund		NCTR487					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-08-31	NQWK01	162.0	SAMN07508817
GCF_002050585.1	ASM205058v1	Salmonella enterica subsp. enterica serovar Muenster		2009K0797					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-03-21	MYGE01		SAMN03264935
GCF_037631305.1	ASM3763130v1	Klebsiella pneumoniae		MRSN537203					GCF_037631305.1-RS_2024_04_07	Contig	2024-03-26	JBBGGV01		SAMN39992616
GCF_003302565.1	ASM330256v1	Escherichia coli		A408					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-07-09	NRYI01		SAMN07556556
GCF_030228485.1	ASM3022848v1	Staphylococcus aureus		UMB1046C					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-07	JASPAV01		SAMN35153951
